№; листа,имя файла,Место хранения гербарного листа,Вид,Административное деление,Территориальное деление,Территориальное деление № 2,Экологические условия,Экологические условия,,Почвенные условия,Дата сбора,Кто собрал,N,E
num,image,source,species,region,district,place,,,forest_type,soil_type,collection_date,collectors,latitude,longitude
226135,Bikin_0_dauricum_26_08_1983,БПИ,Rh_dauricum,Хабаровский  край,Бикинский район,окресности г. Бикин,на крупноглыбистой осыпи,,,каменистый склон,26.08.1983,А.Никулин И.Вышин,"46,832611","134,230194"
,bikin_0_dauricum_26_09_1988,БПИ,Rh_dauricum,Хабаровский  край,Бикинский район,окресности г. Бикин,на крупноглыбистой осыпи,,,каменистый склон,26.08.1983,А.Никулин И.Вышин,"46,832611","134,230194"
226124,Bikin_1_dauricum_26_08_1983,БПИ,Rh_dauricum,Хабаровский  край,Бикинский район, г. Бикин,на крупноглыбистой осыпи,,,каменистый склон,26.08.1983,Микулина,"46,81725","134,227917"
226182,Blag_0_dauricum_04_06_1977,БПИ,Rh_dauricum,Амурская область,благовещенский район,урощище Мухинка ,,,,,04.06.1977,"Т. Буч, С.С. Харкевич","50,334278","127,7445"
226374,Blag_1_mucronulatum_28_06_1955,БИН,Rh_dauricum,Амурская область,благовещенский район,"окр. Благовещенского плоскогорья, на правом берегу р.Зея",на крупноглыбистой осыпи,,,каменистый склон,28.06.1955,,"50,303417","127,689"
11676,blagr_0_dauricum_14_06_2000,БСИ,Rh_dauricum,Амурская область,благовещенский район,урощище Мухинка ,,смешанный лес,смешанный лес,,14.06.2000,,"50,334278","127,7445"
6184,blagr_0_dauricum_23_08_1973,ГБС,Rh_dauricum,Амурская область,благовещенский район,село Натальино,берёзовый лес,широколиственный лес,березняк,,25.08.1973,Плотникова Л. С. ,"50,974929","127,843077"
11675,blagr_1_dauricum_14_06_2000,БСИ,Rh_dauricum,Амурская область,благовещенский район,урощище Мухинка ,,смешанный лес,смешанный лес,,14.06.2000,,"50,334278","127,7445"
6184,blagr_1_dauricum_21_08_1973,ГБС,Rh_dauricum,Амурская область,благовещенский район,село Натальино,берёзовый лес,широколиственный лес,березняк,,25.08.1973,Плотникова Л. С. ,"50,974929","127,843077"
11673,blagr_2_dauricum_00_06_1996,БСИ,Rh_dauricum,Амурская область,благовещенский район,БСИ,,,,,01.06.1996,Недолужко В.А.,"50,297366","127,510487"
226243,bpeles_0_mucronulatum_23_06_1963,БПИ,Rh_mucronulatum,приморский край,Большой Пелис, о. Большой Пелес,,,кустарник,скалистый берег моря,21.06.1963,Розенберг,"42,666667","131,463222"
226308,bpelis_0_mucronulatum_10_08_1977,БПИ,Rh_mucronulatum,приморский край,Большой Пелис,о Большой Пелес,,,кустарник,скалистый берег моря,10.08.1977,Селедец,"42,657056","131,45975"
226344,bpelis_1_mucronulatum_18_07_1978,БПИ,Rh_mucronulatum,приморский край,Большой Пелис,о Большой Пелес,опушка леса,,кустарник,скалистый берег моря,18.07.1978,Куренцова,"42,663354","131,464293"
226255,chug_0_mucronulatum_23_06_1982,БПИ,Rh_mucronulatum,приморский край,чугуевский район,Верх-Уссур стацион по Медвеж ключу,скалы,,,склон горы,23.06.1982,Т. Безделева/ Лисенкова,"46,027917","135,01575"
,chug_0_sichotense_26_05_1974,,Rh_sichotence,приморский край,чугуевский район,40 км на юго-восток от посёлка Чугуевки,горный земномошный ельник,темнохвойный лес,темнохвойный лес,,26.05.1974,Нечаев А.А.,"44,0121","134,296369"
226256,chug_1_mucronulatum_18_07_1982,БПИ,Rh_mucronulatum,приморский край,чугуевский район,Верх-Уссур стацион по Медвеж ключу,скалы,,,склон горы,18.07.1982,Т. Безделева/Яшенко,"46,027917","135,01575"
,chug_1_sichotense_26_05_1974,ГБС,Rh_sichotence,приморский край,чугуевский район,верховье реки Соловей,зеленомошный ельник,темнохвойный лес,темнохвойный лес,,26.05.1974,Нечаев А.А.,"44,174917","133,997176"
226257,chug_2_mucronulatum_18_06_1982,БПИ,Rh_mucronulatum,приморский край,чугуевский район,Верх-Уссур стацион по Медвеж ключу,скалы,,,склон горы,18.07.1982,Т. Безделева/Яшенко,"46,027917","135,01575"
,chug_2_sichotense_26_05_1974,ГБС,Rh_sichotence,приморский край,чугуевский район,верховье реки Соловей,зеленомошный ельник,темнохвойный лес,темнохвойный лес,,26.05.1974,Нечаев А.А.,"44,174917","133,997176"
226260,chug_3_mucronulatum_23_06_1982,БПИ,Rh_mucronulatum,приморский край,чугуевский район,скалы по Медвежьему ключу,,,,склон горы,23.06.1982,Т. Безделева / Лисенкова,"46,027917","135,01575"
226342,chug_4_mucronulatum_23_06_1982,БПИ,Rh_mucronulatum,приморский край,чугуевский район,Верхн-Уссур стационар склоны по Медвеж ключу,,,,склон горы,23.06.1982,Т. Безделева/ Лисенкова,"46,027917","135,01575"
226333,chug_5_mucronulatum_23_06_1972,БПИ,Rh_mucronulatum,приморский край,чугуевский район,река медведка, листвен-к,широколиственный лес,лиственичник,берег реки,23.06.1972,Крылов А.Г/ В.Верхолат,"43,793056","133,761583"
11827,dal_1_sichotense_14_06_1972,БСИ,Rh_sichotence,приморский край,дальнегорский район,г. Дальнегорск,"сопка, вершина",,,сопка,14.06.1972,Ковалёва,"44,586658","135,64472"
226269,dalneg_0_mucronulatum_07_08_1975,БПИ,Rh_mucronulatum,приморский край,дальнегорский район,пос. Рудная Пристань,"падь Васькова, дубняк с рододендромами",широколиственный лес,дубняк,,07.08.1975,Н.С. Шеметова,"44,343056","135,824417"
226270,dalneg_1_mucronulatum_07_08_1975,БПИ,Rh_mucronulatum,приморский край,дальнегорский район,пос. Рудная Пристань,"падь Васькова, дубняк с рододендромами",широколиственный лес,дубняк,,07.08.1975,Н.С. Шеметова,"44,343056","135,824417"
11746,DSC02819,БСИ,Rh_mucronulatum,приморский край,о. Русский,г. Церковная,,широколиственный лес,широколиственный лес,,03.10.1997,Недолужко,43.032339,131.838752
11758,DSC02821,БСИ,Rh_mucronulatum,приморский край,о. Рикорда,,,,широколиственный лес,,01.08.96,Недолужко,42.883569,131.669237
11727,DSC02825,БСИ,Rh_mucronulatum,приморский край,о. Рикорда,,,,широколиственный лес,,01.08.96,Недолужко,42.883569,131.669237
11731,DSC02826,БСИ,Rh_mucronulatum,приморский край,о. Попова,,,,,скалистый берег моря,19.08.1983,Недолужко,42.981607,131.710090
11784,DSC02830,БСИ,Rh_mucronulatum,приморский край,о. Путятин,сопка Котова,,,дубняк,,20.06.1981,Клычкова,42.886823,132.423006
