№; листа,имя файла,Место хранения гербарного листа,Вид,Административное деление,Территориальное деление,Территориальное деление № 2,Экологические условия,Экологические условия,,Почвенные условия,Дата сбора,Кто собрал,N,E
num,image,source,species,region,district,place,,,forest_type,soil_type,collection_date,collectors,latitude,longitude
,DSC02933,БСИ,Rh mucronulatum,приморский край,Хасанский район,"р.Амба,руч.Рыбий",,,дубняк,скальные выходы,07.07.2015,"Колдаева,Калинкина,Пименова","43,329716","131,425254"
,DSC02934,БСИ,Rh mucronulatum,приморский край,Хасанский район,водор.руч.Антоновского-руч.Безымянного,,,,скальные выходы,08.07.2015,"Колдаева,Калинкина,Пименова","43,386664","131,417746"
,DSC02935,БСИ,Rh mucronulatum,приморский край,Хасанский район,водор.руч.Антоновского-руч.Безымянного,,,,скальные выходы,08.07.2015,"Колдаева,Калинкина,Пименова","43,386664","131,417746"
,DSC02936,БСИ,Rh mucronulatum,приморский край,Хасанский район,водор.руч.Антоновского-руч.Безымянного,,,,скальные выходы,08.07.2015,"Колдаева,Калинкина,Пименова","43,386664","131,417746"
,DSC02937,БСИ,Rh mucronulatum,приморский край,Хасанский район,водор.руч.Антоновского-руч.Безымянного,,,,скальные выходы,08.07.2015,"Колдаева,Калинкина,Пименова","43,386664","131,417746"
,DSC02938,БСИ,Rh mucronulatum,приморский край,о.Русский,окр.п.Поспелого,,,широколиственный лес,,09.09.1999,"В.А.Недолужко,Н.И.Денисов","43,055228","131,881589"
,DSCN2898,БСИ,Rh_mucronulatum,приморский край,Михайловский район,,"река, сопка склон, дубняк",широколиственный лес,дубняк,сопка,00.00.2016,Кокшеева,"43,822455","132,747119"
,DSCN2900,БСИ,Rh_mucronulatum,приморский край,Михайловский район,,"река, сопка склон, дубняк",широколиственный лес,дубняк,сопка,00.00.2016,Кокшеева,"43,822455","132,747119"
,DSCN2902,БСИ,Rh_mucronulatum,приморский край,Михайловский район,,"река, сопка склон, дубняк",широколиственный лес,дубняк,сопка,00.00.2016,Кокшеева,"43,822455","132,747119"
,DSCN2905,БСИ,Rh_mucronulatum,приморский край,Михайловский район,,"река, сопка склон, дубняк",широколиственный лес,дубняк,сопка,00.00.2016,Кокшеева,"43,822455","132,747119"
,DSCN2907,БСИ,Rh_mucronulatum,приморский край,Михайловский район,,"река, сопка склон, дубняк",широколиственный лес,дубняк,сопка,00.00.2016,Кокшеева,"43,822455","132,747119"
,DSCN2910.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,06.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2911.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,07.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2912.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,08.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2913.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,09.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2914.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,10.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2915.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,11.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2916.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,12.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2917.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,13.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2918.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,14.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2919.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,15.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2920.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,16.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2921.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,17.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2922.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,18.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2923.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,19.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2924.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,20.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2925.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,21.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2926.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,22.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2927.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,23.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2928.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,24.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2929.txt,БСИ,Rh_mucronulatum,приморский край,Партизанский район,Находкинский перевал ,по гребню дубняка,широколиственный лес,дубняк,сопка,25.08.2016,Дудкин,"42,896944","132,873889"
,DSCN2940,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,желтые озёра,,,светлохвойный лес,скальные выходы,27.09.2016,Богачёв,"44,862517","131,706233"
,DSCN2941,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2941,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,желтые озёра,,светлохвойный лес ,светлохвойный лес ,скальные выходы,27.09.2016,Богачёв,"45,15395","132,00625"
,DSCN2942,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2942,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,желтые озёра,,светлохвойный лес ,светлохвойный лес ,скальные выходы,27.09.2016,Богачёв,"45,15395","132,00625"
,DSCN2943,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2943,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,желтые озёра,,светлохвойный лес ,светлохвойный лес ,скальные выходы,27.09.2016,Богачёв,"45,15395","132,00625"
,DSCN2944,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2944,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,желтые озёра,,светлохвойный лес ,светлохвойный лес ,скальные выходы,27.09.2016,Богачёв,"45,15395","132,00625"
,DSCN2945,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2945,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,желтые озёра,,светлохвойный лес,светлохвойный лес ,скальные выходы,27.09.2016,Богачёв,"45,15395","132,00625"
,DSCN2946,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2946,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,широколиственный лес ,дубняк,склон горы,27.09.2016,Богачёв,"44,833583","131,694633"
,DSCN2947,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2947,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,широколиственный лес ,дубняк,склон горы,27.09.2016,Богачёв,"44,833583","131,694633"
,DSCN2948,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2948,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,широколиственный лес ,дубняк,склон горы,27.09.2016,Богачёв,"44,833583","131,694633"
,DSCN2949,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2949,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,широколиственный лес ,дубняк,склон горы,27.09.2016,Богачёв,"44,833583","131,694633"
,DSCN2950,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2950,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,широколиственный лес ,дубняк,склон горы,27.09.2016,Богачёв,"44,833583","131,694633"
,DSCN2951,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2951,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,широколиственный лес ,дубняк,склон горы,27.09.2016,Богачёв,"44,833583","131,694633"
,DSCN2952,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2952,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,широколиственный лес ,дубняк,склон горы,27.09.2016,Богачёв,"44,833583","131,694633"
,DSCN2953,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2954,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2954,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,желтые озёра,,светлохвойный лес ,светлохвойный лес ,скальные выходы,27.09.2016,Богачёв,"45,153883","132,0062"
,DSCN2955,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,шкотовское плато,,,дубняк,скальные выходы,00.10.2015,Дудкин,"43,404845","132,687253"
,DSCN2955,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,широколиственный лес ,дубняк,склон горы,27.09.2016,Богачёв,"44,833","131,693867"
,DSCN2956,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,широколиственный лес,дубняк,склон горы,27.09.2016,Богачёв,"44,833","131,693867"
,DSCN2957,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,широколиственный лес,дубняк,склон горы,27.09.2016,Богачёв,"44,833517","131,744233"
,DSCN2958,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,широколиственный лес,дубняк,склон горы,27.09.2016,Богачёв,"44,833517","131,744233"
,DSCN2959,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,,светлохвойный лес ,скальные выходы,27.09.2016,Богачёв,"44,862583","131,706933"
,DSCN2960,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,,,,светлохвойный лес ,скальные выходы,27.09.2016,Богачёв,"44,862583","131,706933"
226137,EAO_0_dauricum_20_07_1985,БПИ,Rh_dauricum,ЕАО,Облученский район,Облуч. Район г. Облучье,каменистая осыпь по склону над ж.д.,,,каменистый склон,,,"49,050722","131,052139"
226371,EAO_1_mucronulatum_02_08_1960,БПИ,Rh_mucronulatum,ЕАО,Облученский район,Кл. Рассыпной в 7-8км к с от стан. Бира,"кедр, ель, лисвен.",светлохвойный лес,светлохвойный лес,,02.08.1960,,"49,025667","132,438167"
226311,falshiv_0_mucronulatum_24_06_1979,БПИ,Rh_mucronulatum,приморский край,о. Фальшивый,зал. ВП Морск з-к о. Фальшивый,,,кустарник,скалистый берег моря,24.06.1979,Куренцова,"43,021361","131,868694"
226310,frugelm_0_mucronulatum_08_08_1978,БПИ,Rh_mucronulatum,приморский край,Фуругельма,о. Фурунгельма,,,кустарник,скалистый берег моря,29.06.1970,"Горовой, Гурзенков","42,465167","130,913778"
226131,hab_0_dauricum_20_06_1983,БПИ,Rh_dauricum,Хабаровский  край,хабаровский район,Зап склон хр. Большой Хехцыр. Урочище Куркуниха,каменистые глыбы,,,скальные выходы,20.06.1983,Мельникова А.,"48,215691","134,733443"
226262,has_1_mucronulatum_07_08_1975,БПИ,Rh_mucronulatum,приморский край,Хасанский район,бухта Троица МЭС берегов скалы,,,кустарник,скалистый берег моря,07.08.1975,Полякова М.Э.,"42,658083","131,1255"
,hb_0_dauricum_15_07_1981,ГБС,Rh_dauricum,Хабаровский  край,хабаровский район,Зап склон Хехцырский зпк.,"елово-пихтовый лес, вершина скалы",темнохвойный лес,темнохвойный лес,скальные выходы,15.07.1981,Мельникова А.,"48,445763","135,637759"
226132,hlaz_0_dauricum_22_07_1987,БПИ,Rh_dauricum,Хабаровский  край,район им Лазо,"верхнее течение реки Хор, ниже устья р. Нижней Кадади","на скалах по южным склонам,заросли",,,каменистый склон,22.07.1987,"И.Б. Вышин И.Б, Баркалов В.Ю.","48,643639","137,406111"
226133,hlaz_1_dauricum_18_08_1987,БПИ,Rh_dauricum,Хабаровский  край,район им Лазо,водораздел Чукен-Провал Има- Синчи- Иафен,,,,,18.08.1979,"И.Б. Вышин И.Б, Баркалов В.Ю.","47,600694","136,594556"
226134,hlaz_2_dauricum_05_09_1987,БПИ,Rh_dauricum,Хабаровский  край,район им Лазо,верхнее течение р.Чукен,"на каменистых осыпях в елово-кедровом лесу, заросли",темнохвойный лес,темнохвойный лес,каменистый склон,05.09.1987,"И.Б. Вышин И.Б, Баркалов В.Ю.","47,715889","136,608111"
226136,hlaz_3_dauricum_08_09_1987,БПИ,Rh_dauricum,Хабаровский  край,район им Лазо,верхнее течение р.Чукен,"на каменистых осыпях в елово-кедровом лесу, заросли",темнохвойный лес,темнохвойный лес,каменистый склон,05.09.1987,"И.Б. Вышин И.Б, Баркалов В.Ю.","47,688278","136,601833"
,hual_00_mucronulatum_10_09_1971,ГБС,Rh_mucronulatum,приморский край,Шкотовский район,г. Хуалаза,,,темнохвойный лес,каменистый склон,10.09.1971,Некрасов В.И.,"43,106633","132,792179"
6184,khank_0_dauricum_09_08_1928,БИН,Rh_mucronulatum,приморский край,Ханкайский район,оз. Ханки,берег озера,светлохвойный лес,светлохвойный лес,каменистый склон,09.08.1928,,"44,780567","132,045447"
226278,khank_0_mucronulatum_13_09_1924,БПИ,Rh_mucronulatum,приморский край,Ханкайский район,берег озера Ханка ,по скальному берегу,светлохвойный лес,светлохвойный лес,каменистый склон,13.09.1924,Е.Алисова,"44,681889","132,156917"
226061,khasan_0_dauricum_02_06_1982,БПИ,Rh_mucronulatum,приморский край,Хасанский район,"с. Кравцовка, бас.р. Раздольная, р. Грязная, кл Водопадный",,,дубняк,берег реки,04.06.1982,Недолужко,"43,358056","131,617556"
,khasan_0_mucronulatum_20_07_1962,МГУ,Rh_mucronulatum,приморский край,Хасанский район,"заповедник ""Кедровая падь""",близ вершины сопки,,темнохвойный лес,склон горы,20.07.1962,Подугольникова Н.А.,"43,111081","131,554622"
6184,khasan_0_mucronulatum_24_09_1977,ГБС,Rh_mucronulatum,приморский край,Хасанский район,"заповедник ""Кедровая падь"" Сухареинский хребет",каменистая россыпь,,темнохвойный лес,каменистый склон,24.09.1977,Макаров В.В.,"43,105031","131,528929"
,khasan_0_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,склон по водоразделу,,дубняк,склон горы,17.06.2015,Кокшеева И.М.,"42,746483","131,117895"
11771,khasan_1_mucronulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,п-ов Янковского,,,кустарник,,,Недолужко,"42,966378","131,480974"
,khasan_1_mucronulatum_24_09_1973,ГБС,Rh_mucronulatum,приморский край,Хасанский район,оз. Мраморное,заросли кустарников,,кустарник,,24.09.1973,Некрасов В.И.,"42,565142","130,76249"
,khasan_1_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,дубняк,широколиственный лес,дубняк,склон горы,16.06.2015,,"42,746483","131,117895"
11742,khasan_10_mucronulatum_04_06_2003,БСИ,Rh_mucronulatum,приморский край,Хасанский район,41 км трассы,крутой северный склон хвойно-широколиственный лес,смешанный лес,смешанный лес,склон горы,04.06.2003,Галанин А.В.,"43,279971","131,588894"
226326,khasan_10_mucronulatum_19_08_1971,БПИ,Rh_mucronulatum,приморский край,Хасанский район,мыс Гамова,,светлохвойный лес,светлохвойный лес,скалистый берег моря,19.08.1971,В.Зорикова,"42,554722","131,217667"
,khasan_10_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,дубняк,широколиственный лес,дубняк,склон горы,16.06.2015,,"42,746483","131,117895"
11743,khasan_11_mucronulatum_22_06_2000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,река Нежинка,,,кустарник,берег реки,"22,06,2000",Нестерова С.В.,"43,395455","131,77285"
226309,khasan_11_mucronulatum_29_07_1970,БПИ,Rh_mucronulatum,приморский край,Хасанский район,о. Фурунгельма,,,кустарник,,29.06.1970,"Горовой, Гурзенков","42,462778","130,925028"
,khasan_11_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,дубняк,широколиственный лес,дубняк,склон горы,16.06.2015,,"42,746483","131,117895"
226294,khasan_12_mucronulatum_00_00_0000,БПИ,Rh_mucronulatum,приморский край,Хасанский район,"сопка в 1,5 км от поворота на Тальми",,,кустарник,сопка,,,"42,553583","130,694528"
11744,khasan_12_mucronulatum_22_06_2000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,река Нежинка,,,кустарник,берег реки,"22,06,2000",Нестерова С.В.,"43,395455","131,77285"
226300,khasan_13_mucronulatum_10_09_1948,БПИ,Rh_mucronulatum,приморский край,Хасанский район,Рязановская лесная дача,смешаный лес,смешанный лес,смешанный лес,,10.09.1948,Воробьев Д.П.,"42,795111","131,244417"
11761,khasan_13_mucronulatum_19_08_1971,БСИ,Rh_mucronulatum,приморский край,Хасанский район,п-ов Гамова,дубняк,широколиственный лес,дубняк,,19.08.1971,Зорикова,"42,561823","131,214521"
226290,khasan_14_mucronulatum_08_09_1963,БСИ,Rh_mucronulatum,приморский край,Хасанский район,заповедник кедровая падь,дубняк,широколиственный лес,дубняк,,08.06.1963,Нечаев А.А.,"43,108772","131,410267"
226268,khasan_2_mucronulatum_05_08_1976,БПИ,Rh_mucronulatum,приморский край,Хасанский район,Скала Голубинский утёс,кустарниково-травенистое сообщемтво по водорозделу,,кустарник,берег реки,05.08.1976,Речан С.П.,"42,439556","130,77175"
,khasan_2_mucronulatum_23_05_1973,ГБС,Rh_mucronulatum,приморский край,Хасанский район,о. Фурунгельма,,,кустарник,,23.05.1973,Здоровьева,"42,470504","130,912629"
,khasan_2_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,дубняк,широколиственный лес,дубняк,склон горы,16.06.2015,,"42,746483","131,117895"
11775,khasan_3_mucronulatum_09_09_1989,БСИ,Rh_mucronulatum,приморский край,Хасанский район,бух. Телековского ,,,дубняк,,09.09.1989,Нестерова С.В.,"42,587679","131,230549"
,khasan_3_mucronulatum_23_10_1955,,Rh_mucronulatum,приморский край,Хасанский район,заповедник кедровая падь,сухой скалистый гребень,,кустарник,каменистый склон,23.10.1955,Скворцов,"43,082838","131,551485"
,khasan_3_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,дубняк,широколиственный лес,дубняк,склон горы,16.06.2015,,"42,746483","131,117895"
11778,khasan_4_mucronulatum_08_08_1974,БСИ,Rh_mucronulatum,приморский край,Хасанский район,бух. Рязановка,дубняк,широколиственный лес,дубняк,,08.08.1974,Урусов В.М.,"42,793159","131,272306"
,khasan_4_mucronulatum_17_10_1960,ГБС,Rh_mucronulatum,приморский край,Хасанский район,заповедник кедровая падь,каменистый склон лиственный лес,широколиственный лес,широколиственный лес,каменистый склон,17.10.1960,Плотникова Л. С. ,"43,130986","131,578745"
226288,khasan_4_mucronulatum_19_08_1971,БПИ,Rh_mucronulatum,приморский край,Хасанский район,мыс Гамова,в подлесье дубняка вместе с рододендроном Шлипенбаха,широколиственный лес,дубняк,,19.08.1971,В.Зориккова,"42,554444","131,2175"
,khasan_4_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,дубняк,широколиственный лес,дубняк,каменистый склон,16.06.2015,,"42,746483","131,117895"
226284,khasan_5_mucronulatum_11_10_1960,БПИ,Rh_mucronulatum,приморский край,Хасанский район,п-ов Краббе,,,дубняк,,11.10.1960,Воробьев Д.П.,"42,608528","130,930278"
,khasan_5_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,дубняк,широколиственный лес,дубняк,каменистый склон,16.06.2015,,"42,746483","131,117895"
226258,khasan_6_mucronulatum_03_08_1981,БПИ,Rh_mucronulatum,приморский край,Хасанский район,Рязановка мыс Ирасн,,,,,03.08.1981,Врищ,"42,779722","131,27625"
,khasan_6_mucronulatum_16_09_1969,ГБС,Rh_mucronulatum,приморский край,Хасанский район,заповедник кедровая падь,широколиственный лес,широколиственный лес,широколиственный лес,,12.09.1969,Плотникова Л. С. ,"43,077034","131,524028"
11767,khasan_6_mucronulatum_19_08_1971,БСИ,Rh_mucronulatum,приморский край,Хасанский район,мыс Гамова,в подлесье дубняка вместе с рододендроном Шлипенбаха,широколиственный лес,дубняк,,19.08.1971,В.Зориккова,"42,554444","131,2175"
,khasan_6_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,дубняк,широколиственный лес,дубняк,каменистый склон,16.06.2015,,"42,746483","131,117895"
226959,khasan_7_mucronulatum_09_06_1983,БПИ,Rh_mucronulatum,приморский край,Хасанский район,Р. Нарва 22км ю-з от п. Барабаш 321 м н у,,,,берег реки,09.06.1983,Коркишко,"43,069917","131,38775"
11776,khasan_7_mucronulatum_19_08_1971,БСИ,Rh_mucronulatum,приморский край,Хасанский район,мыс Гамова,в подлесье дубняка вместе с рододендроном Шлипенбаха,широколиственный лес,дубняк,,19.08.1971,В.Зориккова,"42,554444","131,2175"
,khasan_7_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,дубняк,широколиственный лес,дубняк,каменистый склон,16.06.2015,,"42,746483","131,117895"
,khasan_7_sichotense_29_10_1977,ГБС,Rh_sichotence,приморский край,Хасанский район,п-ов Гамова,крутые склоны с редкими дубами,,дубняк,,29.10.1977,Макаров В.В.,"42,586345","131,211168"
226261,khasan_8_mucronulatum_22_08_1983,БПИ,Rh_mucronulatum,приморский край,Хасанский район,"6,5км севернее с. Овчинниково у г. Скалистой",,,дубняк,склон горы,22.08.1983,Коркишко,"43,239556","131,378472"
,khasan_8_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,дубняк,широколиственный лес,дубняк,каменистый склон,16.06.2015,,"42,746483","131,117895"
117441,khasan_9_mucronulatum_01_08_1985,БСИ,Rh_mucronulatum,приморский край,Хасанский район,бух. Бойсмана,лес крутой берег моря,,дубняк,,01.08.1985,Недолужко В.А.,"42,677939","131,229257"
226341,khasan_9_mucronulatum_14_08_1984,БПИ,Rh_mucronulatum,приморский край,Хасанский район,р. Грязная,дубняк рододенд с березой железн на юж склоне,,дубняк,,14.08.1984,,"43,344722","131,585056"
,khasan_9_mucrunulatum_00_00_0000,БСИ,Rh_mucronulatum,приморский край,Хасанский район,г. Луна,дубняк,широколиственный лес,дубняк,каменистый склон,16.06.2015,,"42,746483","131,117895"
6184,khor_0_mucronulatum_30_08_1951,БИН,Rh_mucronulatum,приморский край,Хорольский район,сопка рядом с селом Новожатково,дубняк,широколиственный лес,дубняк,сопка,30.08.1951,,"44,286015","131,923098"
,khual_1_mucronulatum_11_09_1971,ГБС,Rh_mucronulatum,приморский край,Шкотовский район,г. Хуалаза,,,темнохвойный лес,каменистый склон,11.09.1971,Некрасов В.И.,"43,10894","132,820621"
,khual_2_mucronulatum_11_09_1971,ГБС,Rh_mucronulatum,приморский край,Шкотовский район,г. Хуалаза,,,темнохвойный лес,каменистый склон,11.09.1971,Некрасов В.И.,"43,10894","132,820622"
,khual_3_mucronulatum_11_09_1971,ГБС,Rh_mucronulatum,приморский край,Шкотовский район,г. Хуалаза,,,темнохвойный лес,каменистый склон,11.09.1971,Некрасов В.И.,"43,10894","132,820623"
,khual_4_mucronulatum_10_09_1971,ГБС,Rh_mucronulatum,приморский край,Шкотовский район,г. Хуалаза,,,темнохвойный лес,каменистый склон,10.09.1971,Некрасов В.И.,"43,10894","132,820624"
226117,Koms_0_dauricum_17_06_1979,БПИ,Rh_dauricum,Хабаровский  край,комсомольский район,Комсом зап-к р. Горюн,,,,берег реки,12.06.1979,В.М. Ван,"50,936611","137,431278"
226086,Koms_1_dauricum_30_06_1979,БПИ,Rh_dauricum,Хабаровский  край,комсомольский район,комсомольский з-ик низовье Амура р.Горин о. Бичи,березняк,широколиственный лес,березняк,,30.06.1985,В.М. Ван,"50,758917","137,5705"
226125,Koms_10_dauricum_23_08_1979,БПИ,Rh_dauricum,Хабаровский  край,комсомольский район,оз. Яркино в районе села Верхняя Тамбовка,опушка елово-пихтового леса,темнохвойный лес,темнохвойный лес,,23.08.1989,Пробатова Н,"50,548944","136,917889"
226087,Koms_3_dauricum_30_06_1985,БПИ,Rh_dauricum,Хабаровский  край,комсомольский район,комсомольский з-ик низовье Амура р.Горин о. Бичи,березняк,широколиственный лес,березняк,,30.06.1985,В.М. Ван,"50,769861","137,528972"
226089,Koms_4_dauricum_20_08_1984,БПИ,Rh_dauricum,Хабаровский  край,комсомольский район,комсомольский з-ик низовье Амура р.Горин ,"склон долины, дубняки",широколиственный лес,дубняк,склон горы,20.08.1984,В.Кан П. Каледин,"50,769528","137,529583"
226090,Koms_5_dauricum_08_07_1998,БПИ,Rh_dauricum,Хабаровский  край,комсомольский район,комсомольский з-ик устье реки Ченки,"Древняя терраса, березняк",широколиственный лес,березняк,,05.07.1984,В.Кан П. Каледин,"50,791444","137,539833"
226092,Koms_6_dauricum_19_07_1984,БПИ,Rh_dauricum,Хабаровский  край,комсомольский район,Комсом з-к г. Чоккети, вершина россыпь,,,каменистый склон,19.07.1984,В.Кан П. Каледин,"50,775944","137,518556"
